id,label,weight
107,4,100
114,4,100
115,4,100
122,4,100
123,4,100
130,4,100
131,4,100
138,4,100
139,4,100
146,4,100
147,4,100
154,4,100
155,4,100
162,4,100
163,4,100
170,4,100
171,4,100
178,4,100
179,4,100
186,4,100
187,4,100
194,4,100
195,4,100
202,4,100
203,4,100
210,4,100
211,4,100
218,4,100
219,4,100
226,4,100
227,4,100
234,4,100
235,4,100
242,4,100
243,4,100
250,4,100
251,4,100
258,4,100
259,4,100
266,4,100
267,4,100
274,4,100
275,4,100
282,4,100
283,4,100
290,4,100
291,4,100
298,4,100
299,4,100
306,4,100
307,4,100
314,4,100
315,4,100
322,4,100
323,4,100
330,4,100
331,4,100
338,4,100
339,4,100
346,4,100
347,4,100
354,4,100
355,4,100
362,4,100
363,4,100
370,4,100
371,4,100
378,4,100
379,4,100
386,4,100
387,4,100
394,4,100
395,4,100
402,4,100
403,4,100
410,4,100
411,4,100
418,4,100
419,4,100
426,4,100
427,4,100
434,4,100
435,4,100
442,4,100
443,4,100
450,4,100
451,4,100
458,4,100
459,4,100
466,4,100
467,4,100
474,4,100
475,4,100
482,4,100
483,4,100
490,4,100
491,4,100
498,4,100
499,4,100
506,4,100
507,4,100
514,4,100
515,4,100
522,4,100
523,4,100
530,4,100
531,4,100
538,4,100
539,4,100
546,4,100
547,4,100
554,4,100
555,4,100
562,4,100
563,4,100
570,4,100
571,4,100
578,4,100
579,4,100
586,4,100
587,4,100
594,4,100
595,4,100
602,4,100
603,4,100
610,4,100
611,4,100
