id,label,weight
1,0,100
9,0,100
10,0,100
18,0,100
19,0,100
26,0,100
27,0,100
34,0,100
35,0,100
42,0,100
43,0,100
50,0,100
51,0,100
52,0,100
53,0,100
60,0,100
61,0,100
68,0,100
69,0,100
76,0,100
77,0,100
84,0,100
85,0,100
93,0,100
94,0,100
95,0,100
102,0,100
103,0,100
110,0,100
111,0,100
118,0,100
119,0,100
126,0,100
127,0,100
134,0,100
135,0,100
142,0,100
143,0,100
150,0,100
151,0,100
158,0,100
159,0,100
166,0,100
167,0,100
174,0,100
175,0,100
182,0,100
183,0,100
190,0,100
191,0,100
198,0,100
199,0,100
206,0,100
207,0,100
214,0,100
215,0,100
222,0,100
223,0,100
230,0,100
231,0,100
238,0,100
239,0,100
246,0,100
247,0,100
254,0,100
255,0,100
262,0,100
263,0,100
270,0,100
271,0,100
278,0,100
279,0,100
286,0,100
287,0,100
294,0,100
295,0,100
302,0,100
303,0,100
310,0,100
311,0,100
318,0,100
319,0,100
326,0,100
327,0,100
334,0,100
335,0,100
342,0,100
343,0,100
350,0,100
351,0,100
358,0,100
359,0,100
366,0,100
367,0,100
374,0,100
375,0,100
382,0,100
383,0,100
390,0,100
391,0,100
398,0,100
399,0,100
406,0,100
407,0,100
414,0,100
415,0,100
422,0,100
423,0,100
430,0,100
431,0,100
438,0,100
439,0,100
446,0,100
447,0,100
454,0,100
455,0,100
462,0,100
463,0,100
470,0,100
471,0,100
478,0,100
479,0,100
486,0,100
487,0,100
494,0,100
495,0,100
502,0,100
503,0,100
510,0,100
511,0,100
518,0,100
519,0,100
526,0,100
527,0,100
534,0,100
535,0,100
542,0,100
543,0,100
550,0,100
551,0,100
558,0,100
559,0,100
566,0,100
567,0,100
574,0,100
575,0,100
582,0,100
583,0,100
590,0,100
591,0,100
598,0,100
599,0,100
606,0,100
607,0,100
614,0,100
615,0,100
17,1,100
58,1,100
59,1,100
66,1,100
67,1,100
74,1,100
75,1,100
82,1,100
83,1,100
90,1,100
92,1,100
100,1,100
101,1,100
108,1,100
109,1,100
116,1,100
117,1,100
124,1,100
125,1,100
132,1,100
133,1,100
140,1,100
141,1,100
148,1,100
149,1,100
156,1,100
157,1,100
164,1,100
165,1,100
172,1,100
173,1,100
180,1,100
181,1,100
188,1,100
189,1,100
196,1,100
197,1,100
204,1,100
205,1,100
212,1,100
213,1,100
220,1,100
221,1,100
228,1,100
229,1,100
236,1,100
237,1,100
244,1,100
245,1,100
252,1,100
253,1,100
260,1,100
261,1,100
268,1,100
269,1,100
276,1,100
277,1,100
284,1,100
285,1,100
292,1,100
293,1,100
300,1,100
301,1,100
308,1,100
309,1,100
316,1,100
317,1,100
324,1,100
325,1,100
332,1,100
333,1,100
340,1,100
341,1,100
348,1,100
349,1,100
356,1,100
357,1,100
364,1,100
365,1,100
372,1,100
373,1,100
380,1,100
381,1,100
388,1,100
389,1,100
396,1,100
397,1,100
404,1,100
405,1,100
412,1,100
413,1,100
420,1,100
421,1,100
428,1,100
429,1,100
436,1,100
437,1,100
444,1,100
445,1,100
452,1,100
453,1,100
460,1,100
461,1,100
468,1,100
469,1,100
476,1,100
477,1,100
484,1,100
485,1,100
492,1,100
493,1,100
500,1,100
501,1,100
508,1,100
509,1,100
516,1,100
517,1,100
524,1,100
525,1,100
532,1,100
533,1,100
540,1,100
541,1,100
548,1,100
549,1,100
556,1,100
557,1,100
564,1,100
565,1,100
572,1,100
