id,mean,size
319,1212,58166
320,1512.5,58166
321,358.8,60122
322,669.6,60122
323,647.6,60122
324,946.6,60122
325,957.8,60122
326,1264.5,60122
327,1245.7,60122
328,1578.4,60122
329,359.3,62078
330,665.7,62078
331,657.6,62078
332,971.9,62078
333,986.3,62078
334,1325.9,62078
335,1284.5,62078
336,1598.4,62078
337,360.9,63591
338,681.3,63591
339,667.9,63591
340,994.3,63591
341,1018.8,63591
342,1335.5,63591
343,1323.5,63591
344,1654,63591
345,364.6,65170
346,705.2,65170
347,678.1,65170
348,1015.9,65170
349,1030.3,65170
350,1369.2,65170
351,1356.4,65170
352,1708.9,65170
353,369.5,67563
354,712.6,67563
355,692.1,67563
356,1047.9,67563
357,1062.9,67563
358,1424.2,67563
359,1391.2,67563
360,1749.8,67563
361,377.6,69974
362,719.5,69974
363,709,69974
364,1090.3,69974
365,1091.5,69974
366,1444.8,69974
367,1436.1,69974
368,1811.8,69974
369,372.3,71649
370,748.5,71649
371,722.4,71649
372,1095.6,71649
373,1117.6,71649
374,1498.3,71649
375,1476.8,71649
376,1863,71649
377,373.9,73323
378,748.8,73323
379,741,73323
380,1144.4,73323
381,1139.8,73323
382,1528.9,73323
383,1518.1,73323
384,1935.4,73323
385,378.9,75692
386,763.4,75692
387,746.9,75692
388,1152.8,75692
389,1164,75692
390,1577.3,75692
391,1536.5,75692
392,1941.2,75692
393,376.2,77843
394,782.6,77843
395,771.4,77843
396,1176.3,77843
397,1184.2,77843
398,1608.8,77843
399,1589.1,77843
400,2021.4,77843
401,377.4,79976
402,792.7,79976
403,777.2,79976
404,1209.8,79976
405,1244.5,79976
406,1640.9,79976
407,1621.7,79976
408,2040.3,79976
409,382,81671
410,823.2,81671
411,789.5,81671
412,1228.7,81671
413,1253.3,81671
414,1684.7,81671
415,1681.9,81671
416,2094.9,81671
417,385,83833
418,829.4,83833
419,804.3,83833
420,1274,83833
421,1290.7,83833
422,1726.5,83833
423,1702.1,83833
424,2166.6,83833
425,387,86868
426,838.8,86868
427,819.1,86868
428,1294.5,86868
429,1330.4,86868
430,1763.2,86868
431,1744.1,86868
432,2224.6,86868
433,388.6,88392
434,851.5,88392
435,834.1,88392
436,1326.9,88392
437,1343.8,88392
438,1825.8,88392
439,1783.8,88392
440,2255.4,88392
441,391.5,90713
442,884.7,90713
443,846,90713
444,1353.4,90713
445,1370.2,90713
446,1863.2,90713
447,1886.2,90713
448,2330.3,90713
449,394.8,93658
450,885.8,93658
451,879.3,93658
452,1385.1,93658
453,1408.1,93658
454,1893.8,93658
455,1893.1,93658
456,2383.1,93658
457,398.5,95746
458,909.5,95746
459,880.9,95746
460,1420.4,95746
461,1416.8,95746
462,1933.2,95746
463,1921.8,95746
464,2458.8,95746
465,398,96925
466,920.6,96925
467,900,96925
468,1463.6,96925
469,1465.9,96925
470,2005,96925
471,1994.1,96925
472,2509,96925
473,405.2,100222
474,942.9,100222
475,919.5,100222
476,1484.8,100222
477,1499,100222
478,2033.7,100222
479,2015.5,100222
480,2581.6,100222
481,406.2,102343
482,956.1,102343
483,928.1,102343
484,1496.5,102343
485,1535.6,102343
486,2082,102343
487,2052.3,102343
488,2641.7,102343
489,408.6,105578
490,976.1,105578
491,945.6,105578
492,1549.1,105578
493,1557.4,105578
494,2131.3,105578
495,2108.5,105578
496,2686.3,105578
497,405.4,107990
498,994.9,107990
499,975.1,107990
500,1577.8,107990
501,1577.1,107990
502,2169.7,107990
503,2170.9,107990
504,2740.7,107990
505,411,110159
506,1013.2,110159
507,985.8,110159
508,1616.2,110159
509,1618.6,110159
510,2226.2,110159
511,2210.8,110159
512,2817.9,110159
513,419.1,113262
514,1035.3,113262
515,1016.8,113262
516,1634.4,113262
517,1648.7,113262
518,2290.6,113262
519,2246.3,113262
520,2873.7,113262
521,433.5,115795
522,1073.2,115795
523,1023.3,115795
524,1694.6,115795
525,1693.8,115795
526,2371.5,115795
527,2325.3,115795
528,2950.1,115795
529,425.2,117484
530,1068.1,117484
531,1037.9,117484
532,1700,117484
533,1728.9,117484
534,2570.5,117484
535,2648.6,117484
536,3320.6,117484
537,465,120268
538,1194.1,120268
539,1166.6,120268
540,1908.7,120268
541,1928.5,120268
542,2632.1,120268
543,2554.3,120268
544,3291.3,120268
545,448.1,123135
546,1171.2,123135
547,1142,123135
548,1909.8,123135
549,1922.2,123135
550,2668.5,123135
551,2540.4,123135
552,3402.7,123135
553,453.3,126103
554,1155.6,126103
555,1134.2,126103
556,1859.8,126103
557,1891.4,126103
558,2636.9,126103
559,2594.9,126103
560,3327.2,126103
561,441.2,128682
562,1171.7,128682
563,1152.1,128682
564,1962.9,128682
565,1993.4,128682
566,2754.5,128682
567,2734.1,128682
568,3500.4,128682
569,455.3,131718
570,1249.9,131718
571,1209.5,131718
572,2005.3,131718
573,2023.7,131718
574,2823.7,131718
575,2779,131718
576,3595.1,131718
577,460.1,134284
578,1247.3,134284
579,1225.1,134284
580,2066.7,134284
581,2054.1,134284
582,2894.9,134284
583,2860.1,134284
584,3686.2,134284
585,470.3,136868
586,1280.3,136868
587,1252.7,136868
588,2113.9,136868
589,2110.1,136868
590,2941.8,136868
591,2924.1,136868
592,3630.9,136868
593,440.6,139038
594,1215.9,139038
595,1176.5,139038
596,1994.8,139038
597,2015,139038
598,2832.1,139038
599,3101.6,139038
600,3957.1,139038
601,479.4,142229
602,1376.7,142229
603,1342.3,142229
604,2223.9,142229
605,2261.1,142229
606,3213.9,142229
607,3174.1,142229
608,4139.6,142229
609,607.6,145062
610,1411.3,145062
611,1356.7,145062
612,2310.4,145062
613,2263.8,145062
614,3041.8,145062
615,3051.6,145062
616,3846.4,145062
