size,mean
3.23876,10.566
0.88468,3.044
1.2597,2
1.64143,1.97
2.75789,1.966
0.98532,1.889
0.71827,2.326
0.71827,2.343
0.71827,2.345
0.88401,2.889
0.89951,2.961
0.86986,3.253
0.88116,3.408
0.86768,3.393
3.37784,11.155
0.9129,3.277
1.30175,2.127
1.70296,2.106
2.87377,2.084
1.01249,1.99
0.74679,2.573
0.74679,2.495
0.74679,2.479
0.92792,3.016
0.92666,3.144
0.89795,3.286
0.91272,3.331
0.88501,3.345
3.42036,11.593
0.93986,3.309
1.3447,2.133
1.75341,2.108
2.96891,2.082
1.04105,2.004
0.77193,2.507
0.77193,2.634
0.77193,2.578
0.93339,3.061
0.94906,3.242
0.92118,3.356
0.94224,3.345
0.90731,3.407
3.4497,11.828
0.96834,3.362
1.38149,2.121
1.82054,2.131
3.05574,2.123
1.07175,2.023
0.7961,2.545
0.7961,2.561
0.7961,2.412
0.97293,3.227
0.97303,3.341
0.94116,3.413
0.96243,3.52
0.92629,3.505
3.58933,12.173
0.98988,3.455
1.42703,2.194
1.87823,2.213
3.12498,2.214
1.09945,2.064
0.81412,2.652
0.81412,2.649
0.81412,2.665
0.98002,3.231
0.99619,3.316
0.95996,3.479
0.98536,3.521
0.94667,3.598
3.54806,12.384
1.00712,3.503
1.47036,2.164
1.90185,2.205
3.16769,2.139
1.12976,2.06
0.82962,2.671
0.82962,2.703
0.82962,2.662
1.02057,3.255
1.02437,3.362
0.99456,3.535
1.01885,3.597
0.96867,3.609
3.70917,12.689
1.04341,3.555
1.5148,2.215
1.98573,2.222
3.32901,2.202
1.16395,2.085
0.86991,2.688
0.86991,2.68
0.86991,2.703
1.04872,3.315
1.05207,3.472
1.01861,3.522
1.04504,3.622
0.98822,3.643
3.76963,13.234
1.07021,3.634
1.56299,2.208
2.06495,2.175
3.42213,2.238
1.19368,2.083
0.89253,2.698
0.89253,2.696
0.89253,2.682
1.06479,3.419
1.07427,3.446
1.04187,3.43
1.0663,3.461
1.01818,3.527
3.83521,13.348
1.09699,3.4
1.60144,2.005
2.12748,2.01
3.51808,1.999
1.22058,1.866
0.91584,2.482
0.91584,2.58
0.91584,2.512
1.10531,3.157
1.10281,3.313
1.0664,3.473
1.09631,3.508
1.03695,3.589
3.95013,13.666
1.12586,3.46
1.65112,1.993
2.1831,2.029
3.59989,2.006
1.25565,1.869
0.94429,2.538
0.94429,2.527
0.94429,2.521
1.13451,3.255
1.12292,3.427
1.09364,3.578
1.12703,3.589
1.05816,3.69
3.97563,14.1
