size,mean
1.13451,1.847
1.12292,1.863
1.09364,1.852
1.12703,1.845
1.05816,1.866
3.97563,1.85
1.15736,1.846
1.69799,1.864
1.91084,1.849
3.66846,1.873
1.28509,1.836
0.97206,1.894
0.97206,1.73
0.97206,1.962
1.15035,1.742
1.15643,1.772
1.10559,1.677
1.14441,1.705
1.08734,1.803
4.11599,1.79
1.17557,1.795
1.7443,1.806
2.20012,1.802
3.83618,1.819
1.31789,1.805
0.98016,1.819
0.98016,1.778
0.98016,1.784
1.18154,1.803
1.18083,1.81
1.12756,1.794
1.16845,1.804
1.105,1.804
4.13559,1.811
1.19792,1.802
1.79679,1.822
2.38936,1.832
3.89119,1.851
1.35029,1.834
0.99485,1.82
0.99485,1.813
0.99485,1.796
1.21116,1.915
1.21176,1.98
1.15774,1.81
1.20123,1.785
1.12723,1.789
4.18848,1.801
1.2319,1.811
1.83787,1.807
2.4499,1.625
4.00053,1.828
1.38372,1.804
1.04217,1.839
1.04217,1.752
1.04217,1.764
1.23055,1.785
1.2389,1.824
1.18841,1.86
1.23268,1.845
1.1513,1.833
4.26044,1.83
1.26675,1.857
1.89285,1.866
2.18603,1.861
4.0101,1.842
1.41427,1.861
1.07162,1.83
1.07162,1.842
1.07162,1.835
1.26813,1.841
1.26304,1.851
1.20348,1.855
1.25036,1.835
1.1821,1.896
4.23943,1.702
1.28025,1.702
1.94008,1.684
2.38069,1.694
4.13331,1.677
1.45175,1.677
1.08059,1.679
1.08059,1.671
1.08059,1.685
1.28338,1.686
1.29295,1.705
1.23792,1.682
1.28894,1.678
1.19985,1.671
4.42393,1.67
1.32066,1.675
1.99212,1.674
2.66924,1.675
4.29562,1.664
1.48447,1.67
1.12263,1.682
1.12263,1.665
1.12263,1.684
1.31331,1.678
1.32214,1.683
1.25909,1.683
1.31015,1.671
1.22348,1.673
4.47216,1.684
1.35073,1.673
2.04817,1.676
2.73382,1.672
4.40158,1.678
1.51573,1.662
1.15052,1.682
1.15052,1.683
1.15052,1.681
1.34387,1.69
1.35197,1.675
1.28527,1.695
1.33932,1.669
1.24575,1.686
4.62692,1.67
1.37496,1.678
2.09343,1.685
2.79108,1.693
4.54837,1.67
1.55538,1.697
1.1766,1.668
1.1766,1.683
1.1766,1.663
1.39352,1.686
1.37999,1.685
1.30508,1.671
1.36146,1.682
1.27434,1.673
4.67543,1.684
1.39619,1.686
2.14906,1.697
2.86099,1.719
4.61573,1.724
1.58497,1.748
1.18766,1.74
1.18766,1.736
1.18766,1.729
1.43164,1.732
1.39453,1.73
1.34451,1.733
1.38357,1.734
1.31829,1.732
2.98342,1.81
1.43021,1.723
2.2032,1.785
2.88933,1.727
4.58682,1.735
1.61745,1.734
1.17909,1.717
1.17909,1.729
1.17909,1.742
1.44982,1.743
1.4376,1.737
1.35163,1.744
1.41764,1.733
1.31491,1.728
4.80479,1.727
1.44778,1.726
2.25623,1.757
3.01881,1.731
4.84737,1.744
1.65755,1.75
1.24092,1.723
1.24092,1.744
1.24092,1.734
1.45757,1.734
1.46857,1.743
1.38368,1.736
1.4568,1.736
1.34253,1.749
4.90957,1.722
1.48916,1.743
2.31491,1.728
3.08635,1.739
4.98459,1.728
1.69121,1.738
1.29084,1.736
1.29084,1.737
1.29084,1.735
1.51933,1.737
1.49896,1.748
1.41203,1.742
1.48761,1.74
1.36685,1.737
4.9544,1.743
1.51619,1.729
2.36325,1.739
3.0828,1.724
5.12517,1.735
1.72482,1.734
1.32448,1.746
1.32448,1.738
1.32448,1.724
1.5419,1.756
1.52957,1.719
1.44097,1.743
1.51872,1.727
1.39136,1.749
5.08911,1.742
1.54842,1.763
2.42394,1.736
3.24133,1.726
5.21199,1.713
1.75842,1.743
1.35578,1.751
1.35578,1.747
1.35578,1.737
1.56214,1.75
1.55981,1.738
1.43981,1.73
1.52515,1.733
1.4117,1.735
5.04549,1.748
1.55525,1.739
2.47766,1.732
3.29435,1.746
5.12527,1.739
1.79621,1.724
1.35342,1.728
1.35342,1.739
1.35342,1.737
1.57929,1.733
1.59054,1.748
1.4857,1.737
1.57568,1.738
1.44772,1.742
5.29343,1.729
1.60917,1.746
2.53881,1.723
3.37259,1.748
5.29309,1.733
1.83334,1.72
1.4189,1.738
1.4189,1.728
1.4189,1.729
1.62053,1.734
1.62441,1.73
1.50223,1.742
1.59987,1.733
1.46354,1.744
5.28747,1.753
1.63229,1.742
2.60085,1.724
3.44921,1.731
5.62635,1.734
1.87045,1.728
1.44399,1.735
1.44399,1.749
1.44399,1.734
1.64968,1.745
1.65177,1.729
1.5196,1.757
1.62341,1.729
1.49237,1.733
5.48507,1.722
1.65642,1.743
2.65294,1.744
3.52169,1.754
5.6948,1.747
1.90589,1.726
1.45314,1.733
1.45314,1.738
1.45314,1.742
1.67194,1.716
1.68054,1.75
1.54993,1.72
1.65813,1.733
1.52282,1.728
5.60479,1.734
1.69433,1.742
2.71507,1.734
3.62202,1.736
5.84301,1.746
1.94097,1.733
1.50065,1.794
1.50065,1.804
1.50065,1.804
1.70955,1.811
1.72045,1.802
1.59974,1.822
1.70334,1.832
1.54631,1.851
5.56727,1.834
1.74638,1.82
2.77811,1.813
3.69087,1.796
5.82463,1.915
1.97773,1.98
1.5491,1.81
1.5491,1.785
1.5491,1.789
1.73907,1.801
1.75025,1.811
1.60289,1.807
1.7185,1.625
1.57192,1.828
5.70817,1.804
1.75618,1.839
2.83763,1.752
3.78584,1.83
6.1096,1.841
2.01595,1.698
1.56496,1.803
1.56496,1.883
1.56496,1.811
1.77551,1.733
1.78075,1.878
1.62758,1.844
1.74334,1.833
1.59077,1.85
5.80986,1.848
1.7821,1.872
2.90155,1.841
3.78972,1.845
6.1437,1.852
2.05197,1.864
1.58999,1.871
1.58999,1.848
1.58999,1.842
1.79509,1.843
1.81589,1.84
1.64607,1.869
1.76998,1.864
1.62157,1.856
5.86058,1.845
1.81332,1.864
2.95454,1.846
3.936,1.847
6.27515,1.846
2.08924,1.834
1.6174,1.848
1.6174,1.859
1.6174,1.867
1.82491,1.84
1.85381,1.855
1.67327,1.878
1.80365,1.859
1.6474,1.84
5.94492,1.848
1.83947,1.842
3.02056,1.845
3.98426,1.843
6.49644,1.854
2.12846,1.846
1.64982,1.83
1.64982,1.835
1.64982,1.857
1.85554,1.862
1.87972,1.869
1.6811,1.846
1.8069,1.846
1.68202,1.848
5.947,1.842
1.8493,1.833
3.0833,1.841
4.05325,1.843
6.29483,1.851
2.16759,1.899
1.63484,1.836
1.63484,1.867
1.63484,1.861
1.89908,1.856
1.91403,1.841
1.70993,1.84
1.85151,1.827
1.70054,1.832
6.18996,1.841
1.88781,1.858
3.14881,1.855
4.18488,1.837
6.7624,1.847
2.20423,1.842
1.69488,1.86
1.69488,1.84
1.69488,1.848
1.88303,1.854
1.94975,1.855
1.74202,1.856
1.87685,1.859
1.72315,1.851
6.20134,1.835
1.92027,1.871
3.21917,1.854
4.1436,1.852
6.82018,1.842
2.23938,1.857
1.72448,1.839
1.72448,1.835
1.72448,1.826
1.94267,1.83
1.97838,1.833
1.76636,1.856
1.90571,1.85
1.74297,1.865
6.08869,1.836
1.94202,1.843
3.27322,1.847
4.35384,1.834
6.94925,1.846
2.26913,1.862
1.74137,1.844
1.74137,1.85
1.74137,1.851
1.97544,1.847
2.01639,1.826
1.78406,1.862
1.92606,1.84
1.76601,1.842
6.3273,1.848
1.96524,1.851
3.34607,1.851
4.44181,1.855
7.05353,1.835
2.31159,1.896
1.76753,1.702
1.76753,1.702
1.76753,1.684
2.01493,1.694
2.04644,1.677
1.83081,1.677
1.96125,1.679
1.79815,1.671
6.29084,1.685
2.00607,1.686
3.40811,1.705
4.24164,1.682
7.26671,1.678
2.34454,1.671
1.7908,1.67
1.7908,1.675
1.7908,1.674
